subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
200:R_1NCzjmN3Hl5r3HF,4,10000,1,0.0016757,0.051284,2.6148,5.9433,-0.75578,5.9058,-3.2848,-9.9994,0.0016757,0.07103299218541773,0.0,58
200:R_1NCzjmN3Hl5r3HF,5,10000,1,0.0,0.05,2.5647,7.7264,-6.5559,10.0,-9.0376,-6.1917,0.0,0.14462499808774942,0.0,58
201:R_3kzZPXnjFGbpt30,1,10000,1,0.26508,0.064754,0.39897,0.75611,1.1824,1.1091,5.4744,8.317,0.26508,0.6479754666513993,0.0,115
201:R_3kzZPXnjFGbpt30,2,10000,1,0.2904,0.050028,0.35088,0.69084,1.4702,0.5109,6.931,9.9947,0.2904,0.6463331290712249,0.0,115
201:R_3kzZPXnjFGbpt30,3,10000,1,0.35178,0.07885,0.2792,0.67883,1.7506,1.2002,7.8319,6.1376,0.35178,0.654512325211249,0.0,115
201:R_3kzZPXnjFGbpt30,4,10000,1,0.38979,0.06413,0.2645,0.63035,2.2363,0.40655,9.9356,9.916,0.38979,0.6313085678154181,0.0,115
201:R_3kzZPXnjFGbpt30,5,10000,1,0.31594,0.079576,0.25008,0.63049,1.706,-0.032388,6.8259,9.997,0.31594,0.5800159816588645,0.0,115
202:R_2OHMsGSLXJZG0Bc,1,10000,1,0.49986,0.050001,1.0343,0.76669,0.94729,0.37832,2.5076,6.828,0.49986,0.47846838276885517,0.0,40
202:R_2OHMsGSLXJZG0Bc,2,10000,1,0.65576,0.050965,1.2222,0.86426,1.6504,0.91309,3.2324,9.0723,0.65576,0.4351141517571302,0.0,40
202:R_2OHMsGSLXJZG0Bc,3,10000,1,0.23682,0.082245,0.36892,0.83405,1.3292,1.0626,5.2127,9.6762,0.23682,0.6172803122875039,0.0,40
202:R_2OHMsGSLXJZG0Bc,4,10000,1,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.554885133299538,0.0,40
202:R_2OHMsGSLXJZG0Bc,5,10000,1,0.38769,0.052879,0.41071,0.82086,1.6609,1.215,5.3097,9.681,0.38769,0.6172891276932096,0.0,40
208:R_2AST2XkjQUqflkc,1,10000,1,0.2146,0.051137,2.2241,5.8691,0.92773,10.0,0.39551,-6.6064,0.2146,0.07057244701362965,0.0,-91
208:R_2AST2XkjQUqflkc,2,10000,1,0.30625,0.29878,1.3876,-1.7993,1.5811,-3.3483,8.1014,1.8117,0.30625,0.2933676516948148,0.0,-91
208:R_2AST2XkjQUqflkc,3,10000,1,0.52914,0.29406,0.922,-0.037896,2.0903,-2.7405,5.7173,9.8838,0.52914,0.36291900972783825,0.0,-91
208:R_2AST2XkjQUqflkc,4,10000,1,0.64062,0.087624,1.4939,-0.068359,1.5186,-8.8818,3.9844,2.3682,0.64062,0.15216451502901565,0.0,-91
208:R_2AST2XkjQUqflkc,5,10000,1,0.41669,0.17092,1.3203,-0.59937,1.7041,-1.0999,5.2576,7.0642,0.41669,0.38097779845727553,0.0,-91
209:R_1esokoelkIOTy89,1,10000,1,0.21484,0.05,0.25024,0.9375,1.8506,1.1182,9.1992,10.0,0.21484,0.6340071967890604,0.0,95
209:R_1esokoelkIOTy89,2,10000,1,0.21995,0.050123,0.25272,1.0062,1.9451,1.8559,7.1527,9.986,0.21995,0.5953627812418171,0.0,95
209:R_1esokoelkIOTy89,3,10000,1,0.16968,0.072624,0.26196,1.4844,1.6211,1.1035,8.0908,10.0,0.16968,0.5655128478448174,0.0,95
209:R_1esokoelkIOTy89,4,10000,1,0.40494,0.084243,0.2529,1.5306,3.5175,2.8988,8.701,8.1224,0.40494,0.5430459939650607,0.0,95
209:R_1esokoelkIOTy89,5,10000,1,0.32025,0.10052,0.25256,1.0096,2.7419,1.5901,7.0539,9.9979,0.32025,0.559030000826512,0.0,95
212:R_OOl4OrOpRgbrLBD,1,10000,1,0.35382,0.054775,1.0726,0.2784,1.4487,-10.0,7.0539,6.5716,0.35382,0.18798830763029822,0.0,191
212:R_OOl4OrOpRgbrLBD,2,10000,1,0.47434,0.050442,1.0625,0.35279,2.5826,-1.3406,9.5367,4.4406,0.47434,0.47482483752536825,0.0,191
212:R_OOl4OrOpRgbrLBD,3,10000,1,0.24063,0.051214,1.2415,0.43149,1.1556,-0.35487,5.9662,5.6932,0.24063,0.4838533341990465,0.0,191
