subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
183:R_2uPQbPniskmS0Ep,4,1.4636,0.99746,0.55152,0.053303,1.5071,-0.030448,1.8075,-9.713,5.175,9.9037,0.55152,0.16638096632313829,0.906476,227
183:R_2uPQbPniskmS0Ep,5,0.40308,0.57998,0.34489,0.050072,1.2928,0.11581,1.3588,-0.1463,4.1507,10.0,0.34489,0.4532383992603475,3.66742,227
187:R_3oHOHstFKN4HiLA,1,13.886,0.0044838,0.16388,0.075612,0.74557,0.21391,0.74801,-2.2671,6.2768,8.5804,0.16388,0.40971943316717074,6.85783,54
187:R_3oHOHstFKN4HiLA,2,16.103,0.02257,0.0085237,0.053379,0.83307,-0.95266,1.4053,-2.3136,6.8735,2.8852,0.0085237,0.3747742812022467,2.0378,54
187:R_3oHOHstFKN4HiLA,3,2.0714,0.035916,0.22404,0.056012,0.98073,-0.30244,1.2689,0.32243,4.3567,9.9617,0.22404,0.5320845334710272,7.52744,54
187:R_3oHOHstFKN4HiLA,4,21.0,0.011297,0.3059,0.050225,0.75118,-0.19742,1.246,-0.39083,5.9496,9.9878,0.3059,0.5573915603960804,2.58937,54
187:R_3oHOHstFKN4HiLA,5,34.5,0.015014,0.16182,0.057494,0.81115,-0.53284,1.7027,-2.536,5.9754,6.7947,0.16182,0.37188824444037755,1.69143,54
192:R_1LeQOpZ9pat1k7D,1,1.9989,0.019989,0.19995,0.15811,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.48542674298094296,0.253721,121
192:R_1LeQOpZ9pat1k7D,2,19.989,0.019989,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10.0,0.19995,0.48542674298094296,5.64876,121
192:R_1LeQOpZ9pat1k7D,3,5.1007,0.0025687,0.51256,0.050382,0.95854,0.6948,0.4766,0.88136,4.6501,9.1439,0.51256,0.5621035164437803,4.16769,121
192:R_1LeQOpZ9pat1k7D,4,12.07,0.015943,0.31287,0.062916,0.85069,0.94263,0.72067,0.58688,4.7637,9.7884,0.31287,0.562495256839221,6.15153,121
192:R_1LeQOpZ9pat1k7D,5,27.059,0.015569,0.40645,0.067221,0.53696,1.0225,0.64302,0.67668,4.8437,9.9799,0.40645,0.5776592288128186,3.67185,121
194:R_24rdiskqYQc7BsO,1,1.8135,0.022917,0.40165,0.050015,1.5054,1.0647,0.46248,-2.337,4.823,9.434,0.40165,0.32147587366777763,3.42468,173
194:R_24rdiskqYQc7BsO,2,0.45272,0.02358,0.29304,0.050662,1.1654,1.2073,0.38936,-1.1769,4.4448,9.7762,0.29304,0.3991874109133758,6.69805,173
194:R_24rdiskqYQc7BsO,3,0.74375,0.42412,0.33066,0.057153,1.12,1.0279,0.50233,-0.64954,5.5265,9.9775,0.33066,0.467249599414106,5.22671,173
194:R_24rdiskqYQc7BsO,4,1.1245,0.66852,0.13554,0.05,1.3182,1.2913,0.33569,-0.95879,5.5309,10.0,0.13554,0.4211362483351547,4.98125,173
194:R_24rdiskqYQc7BsO,5,0.42342,0.047548,0.16383,0.050453,1.0477,1.2528,0.4159,-0.61532,5.0884,9.9996,0.16383,0.4543061764533139,3.8799,173
196:R_0voL9dLPRpILrS9,1,7.1309,0.017479,0.55394,0.1696,0.81323,0.95759,0.88872,0.53538,4.0424,8.1867,0.55394,0.5494450968453137,2.90969,-248
196:R_0voL9dLPRpILrS9,2,20.877,0.0086016,0.33627,0.16942,1.0255,0.98871,0.61826,0.75996,4.6926,9.2601,0.33627,0.5310108216787517,0.000620212,-248
196:R_0voL9dLPRpILrS9,3,0.88611,0.78971,0.00070689,0.050162,1.8483,9.7932,5.1473,9.9961,3.3734,1.9669,0.00070689,0.16555797277628223,9.12076e-05,-248
196:R_0voL9dLPRpILrS9,4,9.0397,0.0095617,0.41013,0.050017,1.0516,1.1412,-0.14027,0.16601,4.1334,9.9989,0.41013,0.4387222963149457,0.141408,-248
196:R_0voL9dLPRpILrS9,5,6.2756,0.0081839,0.49484,0.08655,0.67946,0.79075,0.68907,0.78912,4.4441,8.9266,0.49484,0.6056225606578027,1.23411,-248
197:R_bqny5leXGykyp0t,1,3.5055,0.00253,0.48093,0.0787,0.28032,0.11074,4.6187,-4.3164,7.0958,9.3651,0.48093,0.3042515564222726,4.25739,-240
197:R_bqny5leXGykyp0t,2,4.6508,0.21156,0.38457,0.16544,0.65316,0.40509,2.7819,-3.6132,9.409,5.3414,0.38457,0.4238051130161621,2.16939,-240
197:R_bqny5leXGykyp0t,3,2.3355,0.43625,0.26172,0.16842,0.55086,0.48772,2.0304,-1.7902,4.9778,7.747,0.26172,0.42660898613484527,11.6526,-240
197:R_bqny5leXGykyp0t,4,4.1384,0.37132,0.33344,0.2098,0.62325,1.7399,2.8914,-4.4705,4.6738,-1.8141,0.33344,0.2748592764755542,5.32568,-240
197:R_bqny5leXGykyp0t,5,1.5468,0.023756,0.18195,0.28886,1.7837,-0.14542,0.7788,0.16112,1.8275,4.2137,0.18195,0.3480895858663399,3.87366,-240
199:R_D1Afhly6eOCY66B,1,2.0771,0.002369,0.33954,0.050051,1.0495,0.42063,1.9934,0.19742,4.3506,9.6348,0.33954,0.48203234957957375,9.74349,183
199:R_D1Afhly6eOCY66B,2,561.45,0.0017172,0.25103,0.050167,0.25002,0.43139,2.5311,0.09693,4.4099,9.9408,0.25103,0.4793293972648201,1.32355,183
