,subject,fold,1,2,3,4,5,6,7,8,9,10
142,Sub810_vs_Level118,3,2.0064,0.012447,0.076339,0.050002,0.93949,0.90231,0.79227,0.049819,3.7378,9.9826
143,Sub810_vs_Level118,4,2.5849,0.0045721,0.085297,0.050421,0.80749,0.67474,1.0106,0.06187,4.8875,9.9873
144,Sub810_vs_Level118,5,1.3125,0.027524,0.14163,0.050002,0.8302,0.92841,1.114,0.40641,4.3617,9.998
145,Sub810_vs_Level92,1,2.2516,0.0011191,0.14136,0.058598,0.86092,0.69033,0.83614,0.23573,4.2548,9.9779
146,Sub810_vs_Level92,2,5.5638,0.0011281,0.1009,0.054105,0.39595,0.82007,1.0729,-0.14278,5.0738,9.2249
147,Sub810_vs_Level92,3,2.1433,0.024154,0.031445,0.050211,0.99704,1.025,0.75399,0.20938,3.907,9.9723
148,Sub810_vs_Level92,4,1.5015,0.00431,0.022549,0.055456,0.66398,0.87297,1.0449,0.19146,4.3608,9.8644
149,Sub810_vs_Level92,5,1.6955,0.0029994,0.0021911,0.076436,0.77218,0.79127,0.76963,0.41271,3.7579,9.9774
150,Sub811_vs_Level110,1,2.7664,0.010436,0.16459,0.062988,1.4123,1.0452,1.0664,0.27562,4.1424,9.9941
151,Sub811_vs_Level110,2,4.6491,0.0028815,0.13653,0.070991,1.1821,1.1834,1.1638,-0.28325,4.7396,9.8875
152,Sub811_vs_Level110,3,6.499,0.0016279,0.17301,0.063375,1.3022,1.1303,1.1852,-0.13067,4.5599,8.7367
153,Sub811_vs_Level110,4,8.3632,0.0010282,0.14857,0.10329,1.0062,1.2572,1.6406,-0.0076017,5.7413,9.8391
154,Sub811_vs_Level110,5,2.2562,0.011126,0.065418,0.080768,1.0825,0.99067,1.0333,-0.17148,3.6843,9.4086
155,Sub811_vs_Level118,1,6.8019,0.0012592,0.065235,0.050841,0.73104,0.81205,1.2711,0.13543,4.2106,9.9851
156,Sub811_vs_Level118,2,17.951,0.0011749,0.093316,0.05,0.74916,1.1574,1.4733,0.84662,5.6516,7.9344
157,Sub811_vs_Level118,3,14.496,0.0017991,0.030457,0.05,0.67505,0.96832,1.2793,0.40405,4.8605,9.9573
158,Sub811_vs_Level118,4,3.41,0.0010001,0.039502,0.050007,0.96346,0.72227,1.1579,0.59796,3.6623,9.4521
159,Sub811_vs_Level118,5,3.5145,0.0027692,0.079959,0.050983,1.1161,0.89054,1.0285,0.54826,3.8517,9.4928
160,Sub811_vs_Level92,1,5.3407,0.001005,0.12691,0.050184,0.93725,1.2166,1.282,1.0432,4.353,9.868
161,Sub811_vs_Level92,2,3.6316,0.0020494,0.17513,0.050114,1.0961,1.2085,1.4119,0.74557,4.7462,9.4865
162,Sub811_vs_Level92,3,2.4944,0.0018216,0.1926,0.072823,0.95789,1.0838,1.3105,0.58705,3.7882,10
163,Sub811_vs_Level92,4,1.9825,0.0070888,0.061315,0.066576,0.86073,1.023,1.2054,0.59836,3.3584,9.4959
164,Sub811_vs_Level92,5,3.0775,0.0023292,0.10108,0.082572,0.84033,1.0542,1.1807,0.79451,4.193,9.9986
165,Sub842_vs_Level110,1,1.6603,0.0051884,0.36842,0.050011,0.75169,1.1231,0.90435,0.53343,4.9729,9.9888
166,Sub842_vs_Level110,2,1.1774,0.0095268,0.00096625,0.060749,0.60618,1.0812,0.78018,0.68114,3.7794,7.3064
167,Sub842_vs_Level110,3,1.0422,0.0038333,0.19647,0.050676,0.58319,0.9953,0.98688,0.50809,4.6857,9.9933
